unnamed:_0,language,family,branch,first_speakers,second_speakers,total_speakers
0,English(excl. creole languages),Indo-European,Germanic,372900000.0,1080000000.0,1452000000.0
1,"Mandarin Chinese(incl. Standard Chinese, but excl. other varieties)",Sino-Tibetan,Sinitic,929000000.0,198700000.0,1118000000.0
2,Hindi(excl. Urdu),Indo-European,Indo-Aryan,343900000.0,258300000.0,602200000.0
3,Spanish,Indo-European,Romance,474700000.0,73600000.0,548300000.0
4,French,Indo-European,Romance,79900000.0,194200000.0,274100000.0
5,Modern Standard Arabic(excl. dialects),Afro-Asiatic,Semitic,,274000000.0,274000000.0
6,Bengali,Indo-European,Indo-Aryan,233700000.0,39000000.0,272700000.0
7,Russian,Indo-European,Balto-Slavic,154000000.0,104100000.0,258200000.0
8,Portuguese,Indo-European,Romance,232400000.0,25200000.0,257700000.0
9,Urdu(excl. Hindi),Indo-European,Indo-Aryan,70200000.0,161000000.0,231300000.0
10,Indonesian(excl. Malay),Austronesian,Malayo-Polynesian,43600000.0,155400000.0,199000000.0
11,Standard German,Indo-European,Germanic,75600000.0,59100000.0,134600000.0
12,Japanese,Japonic,—,125300000.0,100000.0,125400000.0
13,Nigerian Pidgin,English Creole,Krio,4700000.0,116000000.0,120700000.0
14,Marathi,Indo-European,Indo-Aryan,83100000.0,16000000.0,99100000.0
15,Telugu,Dravidian,South-Central,82700000.0,13000000.0,95700000.0
16,Turkish,Turkic,Oghuz,82200000.0,5900000.0,88100000.0
17,Tamil,Dravidian,Southern,78400000.0,8000000.0,86400000.0
18,Yue Chinese(incl. Cantonese),Sino-Tibetan,Sinitic,85200000.0,400000.0,85600000.0
19,Vietnamese,Austroasiatic,Vietic,84600000.0,700000.0,85300000.0
20,Tagalog[b],Austronesian,Central Philippine,28200000.0,54200000.0,82300000.0
21,Wu Chinese(incl. Shanghainese),Sino-Tibetan,Sinitic,81700000.0,100000.0,81800000.0
22,Korean,Koreanic,—,,,81700000.0
23,Iranian Persian(excl. Dari and Tajik),Indo-European,Iranian,56400000.0,21000000.0,77400000.0
24,Hausa,Afro-Asiatic,Chadic,50800000.0,26300000.0,77100000.0
25,Egyptian Spoken Arabic(excl. other Arabic dialects),Afro-Asiatic,Semitic,,,74800000.0
26,Swahili,Niger–Congo,Bantu,16100000.000000002,55400000.0,71400000.0
27,Javanese,Austronesian,Malayo-Polynesian,,,68300000.0
28,Italian,Indo-European,Romance,64800000.0,3100000.0,67900000.0
29,Western Punjabi(excl. Eastern Punjabi),Indo-European,Indo-Aryan,,,66400000.00000001
30,Kannada,Dravidian,Southern,48600000.0,15400000.0,64000000.0
31,Gujarati,Indo-European,Indo-Aryan,57000000.0,5000000.0,62000000.0
32,Thai,Kra–Dai,Zhuang–Tai,20700000.0,40000000.0,60700000.0
33,Amharic,Afro-Asiatic,Semitic,32400000.0,25100000.0,57500000.0
34,Bhojpuri,Indo-European,Indo-Aryan,52300000.0,200000.0,52500000.0
35,Eastern Punjabi(excl. Western Punjabi),Indo-European,Indo-Aryan,48100000.0,3600000.0,51700000.0
36,Min Nan Chinese(incl. Hokkien),Sino-Tibetan,Sinitic,49300000.0,400000.0,49700000.0
37,Jin Chinese,Sino-Tibetan,Sinitic,,,47100000.0
38,Yoruba,Niger–Congo,Atlantic–Congo,43600000.0,2000000.0,45600000.0
39,Hakka Chinese,Sino-Tibetan,Sinitic,43800000.0,200000.0,44100000.0
40,Burmese,Sino-Tibetan,Tibeto-Burman,33000000.0,10000000.0,43000000.0
41,Sudanese Spoken Arabic,Afro-Asiatic,Semitic,33299999.999999996,9000000.0,42300000.0
42,Polish,Indo-European,Balto-Slavic,40000000.0,700000.0,40600000.0
43,Algerian Spoken Arabic,Afro-Asiatic,Semitic,34700000.0,5600000.0,40300000.0
44,Lingala,Niger–Congo,Atlantic–Congo,20300000.0,20000000.0,40300000.0
